"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Period","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units",,,0.91451,,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2017-Q3","Q3-2017","PC","Percentage","0","Units",,,3.023565,,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2017-Q4","Q4-2017","PC","Percentage","0","Units",,,2.864046,,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2018-Q1","Q1-2018","PC","Percentage","0","Units",,,2.213621,,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2018-Q2","Q2-2018","PC","Percentage","0","Units",,,1.75709,,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2018-Q3","Q3-2018","PC","Percentage","0","Units",,,1.956371,,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2018-Q4","Q4-2018","PC","Percentage","0","Units",,,1.59264,,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units",,,1.350443,,
"CAN","Canada","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units",,,1.639413,,
"CZE","Czech Republic","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2017-Q3","Q3-2017","PC","Percentage","0","Units",,,0.49272,,
"CZE","Czech Republic","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2017-Q4","Q4-2017","PC","Percentage","0","Units",,,0.635931,,
"CZE","Czech Republic","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2018-Q1","Q1-2018","PC","Percentage","0","Units",,,0.600231,,
"CZE","Czech Republic","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2018-Q2","Q2-2018","PC","Percentage","0","Units",,,0.632994,,
"CZE","Czech Republic","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2018-Q3","Q3-2018","PC","Percentage","0","Units",,,0.566086,,
"CZE","Czech Republic","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2018-Q4","Q4-2018","PC","Percentage","0","Units",,,0.895441,,
"CZE","Czech Republic","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units",,,0.599331,,
"CZE","Czech Republic","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units",,,0.741014,,
"CZE","Czech Republic","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2019-Q3","Q3-2019","PC","Percentage","0","Units",,,0.3,,
"CZE","Czech Republic","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2017-Q3","Q3-2017","PC","Percentage","0","Units",,,5.104316,,
"CZE","Czech Republic","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2017-Q4","Q4-2017","PC","Percentage","0","Units",,,5.062392,,
"CZE","Czech Republic","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2018-Q1","Q1-2018","PC","Percentage","0","Units",,,4.224816,,
"CZE","Czech Republic","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2018-Q2","Q2-2018","PC","Percentage","0","Units",,,2.38281,,
"CZE","Czech Republic","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2018-Q3","Q3-2018","PC","Percentage","0","Units",,,2.457555,,
"CZE","Czech Republic","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2018-Q4","Q4-2018","PC","Percentage","0","Units",,,2.721762,,
"CZE","Czech Republic","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units",,,2.720844,,
"CZE","Czech Republic","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units",,,2.831105,,
"CZE","Czech Republic","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2019-Q3","Q3-2019","PC","Percentage","0","Units",,,2.559026,,
"DNK","Denmark","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2017-Q3","Q3-2017","PC","Percentage","0","Units",,,-0.830061,,
"DNK","Denmark","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2017-Q4","Q4-2017","PC","Percentage","0","Units",,,0.890558,,
"DNK","Denmark","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2018-Q1","Q1-2018","PC","Percentage","0","Units",,,0.834967,,
"DNK","Denmark","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2018-Q2","Q2-2018","PC","Percentage","0","Units",,,0.377102,,
"DNK","Denmark","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2018-Q3","Q3-2018","PC","Percentage","0","Units",,,0.540048,,
"DNK","Denmark","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2018-Q4","Q4-2018","PC","Percentage","0","Units",,,0.783534,,
"DNK","Denmark","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units",,,0.334072,,
"DNK","Denmark","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units",,,0.878591,,
"DNK","Denmark","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2019-Q3","Q3-2019","PC","Percentage","0","Units",,,0.3,,
"DNK","Denmark","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2017-Q3","Q3-2017","PC","Percentage","0","Units",,,0.982845,,
"DNK","Denmark","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2017-Q4","Q4-2017","PC","Percentage","0","Units",,,0.984182,,
"DNK","Denmark","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2018-Q1","Q1-2018","PC","Percentage","0","Units",,,-0.500871,,
"DNK","Denmark","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2018-Q2","Q2-2018","PC","Percentage","0","Units",,,1.268968,,
"DNK","Denmark","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2018-Q3","Q3-2018","PC","Percentage","0","Units",,,2.668076,,
"DNK","Denmark","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2018-Q4","Q4-2018","PC","Percentage","0","Units",,,2.559167,,
"DNK","Denmark","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units",,,2.049707,,
"DNK","Denmark","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units",,,2.559552,,
"DNK","Denmark","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2019-Q3","Q3-2019","PC","Percentage","0","Units",,,2.314683,,
"FIN","Finland","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2017-Q3","Q3-2017","PC","Percentage","0","Units",,,0.60094,,
"FIN","Finland","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2017-Q4","Q4-2017","PC","Percentage","0","Units",,,1.158618,,
"FIN","Finland","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2018-Q1","Q1-2018","PC","Percentage","0","Units",,,0.374517,,
"FIN","Finland","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2018-Q2","Q2-2018","PC","Percentage","0","Units",,,0.027638,,
"FIN","Finland","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2018-Q3","Q3-2018","PC","Percentage","0","Units",,,-0.082893,,
